answers,percentage
Physics and Astronomy,27.71
Computer Science,26.81
Biological Sciences,6.63
Mathematics,6.63
Other,4.82
Geography & Environmental Sciences,4.82
Chemistry,4.82
Electrical & Electronic Engineering,3.01
Civil Engineering,2.11
Mechanical Engineering,2.11
Linguistics,1.51
Psychology,0.9
Materials Technology,0.9
Geology,0.9
General Engineering,0.9
Aeronautical & Manufacturing Engineering,0.6
English,0.6
Medicine,0.6
Art & Design,0.3
History,0.3
Chemical Engineering,0.3
Business & Management Studies,0.3
Education,0.3
Theology & Religious Studies,0.3
Robotics,0.3
